買/賣,交易時間,股票代號,股票名稱,單位成本,股數,手續費,交易稅,淨收付,損益
買,2020-05-07,0050,元大台灣50,84.0,50,20,0,-4220.0,0.0
買,2020-06-09,0050,元大台灣50,89.6,60,20,0,-5396.0,0.0
買,2020-07-03,2618,長榮航,11.25,2000,40,0,-22540.0,0.0
買,2020-08-31,2885,元大金,18.4,300,20,0,-5540.0,0.0
買,2020-10-16,00878,國泰永續高股息,14.51,1000,5,0,-14515.0,0.0
買,2020-12-07,2603,長榮,24.05,1000,9,0,-24059.0,0.0
買,2020-12-15,2603,長榮,28.95,1000,11,0,-28961.0,0.0
賣,2020-12-23,2618,長榮航,12.7,1000,5,38,12657.0,1387.0
賣,2020-12-23,2618,長榮航,12.65,1000,5,37,12608.0,1338.0
賣,2020-12-31,2603,長榮,40.4,1000,16,121,40263.0,16204.0
買,2021-01-05,2603,長榮,45.2,1000,18,0,-45218.0,0.0
買,2021-01-08,0050,元大台灣50,130.4,100,5,0,-13045.0,0.0
賣,2021-01-12,2603,長榮,40.4,1000,16,60,40324.0,0.0
買,2021-01-12,2603,長榮,39.8,1000,15,0,-39815.0,509.0
買,2021-01-14,2330,台積電,596.0,100,23,0,-59623.0,0.0
賣,2021-01-14,2603,長榮,38.25,1000,15,114,38121.0,9160.0
賣,2021-01-14,2603,長榮,38.15,1000,15,114,38021.0,-7197.0
買,2021-01-22,00881,國泰台灣5G+,18.43,1000,7,0,-18437.0,0.0
賣,2021-01-28,00881,國泰台灣5G+,17.16,1000,6,17,17137.0,-1300.0
賣,2021-01-28,2330,台積電,600.0,100,23,180,59797.0,174.0
買,2021-02-02,00881,國泰台灣5G+,17.6,1000,7,0,-17607.0,0.0
買,2021-02-17,2330,台積電,665.0,50,13,0,-33263.0,0.0
買,2021-02-23,2618,長榮航,15.05,1000,6,0,-15056.0,0.0
買,2021-02-24,2330,台積電,630.0,10,2,0,-6302.0,0.0
賣,2021-02-25,0050,元大台灣50,137.15,10,1,1,1369.5,525.5
賣,2021-03-25,0050,元大台灣50,132.0,20,1,2,2637.0,949.0
賣,2021-03-30,2885,元大金,22.4,50,1,3,1116.0,193.0
買,2021-03-31,2330,台積電,594.0,5,1,0,-2971.0,0.0
賣,2021-04-12,2618,長榮航,16.05,1000,6,48,15996.0,940.0
買,2021-04-13,2603,長榮,57.4,1000,22,0,-57422,0
